"Authors","Author full names","Author(s) ID","Titles","Year","Source title","DOI","Cited by","Link","Abstract","Author Keywords","Document Type","Source"
"Lemire D.; Kaser O.; Kurz N.; Deri L.; O'Hara C.; Saint-Jacques F.; Ssi-Yan-Kai G.","Lemire, Daniel (10238969400); Kaser, Owen (57207523414); Kurz, Nathan (56594618300); Deri, Luca (6602182293); O'Hara, Chris (57200284870); Saint-Jacques, François (57200275226); Ssi-Yan-Kai, Gregory (57188855526)","10238969400; 57207523414; 56594618300; 6602182293; 57200284870; 57200275226; 57188855526","Roaring bitmaps: Implementation of an optimized software library","2018","Software - Practice and Experience","10.1002/spe.2560","22","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040591046&doi=10.1002%2fspe.2560&partnerID=40&md5=de2a2877db59ba2569eedb074940e5cc","Compressed bitmap indexes are used in systems such as Git or Oracle to accelerate queries. They represent sets and often support operations such as unions, intersections, differences, and symmetric differences. Several important systems such as Elasticsearch, Apache Spark, Netflix's Atlas, LinkedIn's Pivot, Metamarkets' Druid, Pilosa, Apache Hive, Apache Tez, Microsoft Visual Studio Team Services, and Apache Kylin rely on a specific type of compressed bitmap index called Roaring. We present an optimized software library written in C implementing Roaring bitmaps: CRoaring. It benefits from several algorithms designed for the single-instruction–multiple-data instructions available on commodity processors. In particular, we present vectorized algorithms to compute the intersection, union, difference, and symmetric difference between arrays. We benchmark the library against a wide range of competitive alternatives, identifying weaknesses and strengths in our software. Our work is available under a liberal open-source license. Copyright © 2018 John Wiley & Sons, Ltd.","bitmap indexes; database indexes; Jaccard index; SIMD instructions; vectorization","Article","Scopus"
"Oliphant T.E.","Oliphant, Travis E. (57223409879)","57223409879","Python for scientific computing","2007","Computing in Science and Engineering","10.1109/MCSE.2007.58","2282","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34247500374&doi=10.1109%2fMCSE.2007.58&partnerID=40&md5=5789c03dcb5cc88f20d42eedee7cef64","Python is an interpreted language with expressive syntax, which transforms itself into a high-level language suited for scientific and engineering code. Some of its features include a liberal open source license, ability to run on many platforms, powerful interactive interpreter, ability to expand with earlier compiled code, ability to interact with a wide variety of other software, and a large number of library modules. An important factor in the utility of Python as a computing language is its clear syntax, which can make code easy to understand and maintain. This language also contributes to the construction of maintainable code by separating code into logical groups such as modules, class, and functions, in addition to offering clean syntax. Python can be easily extended with a large C-API for calling Python functionality from C programming language, connecting to non-Python compiled code, and extending the language itself by creating new Python types in C language.","","Article","Scopus"
"Ozden S.G.; Smith A.E.; Gue K.R.","Ozden, S.G. (57193897060); Smith, A.E. (7406755420); Gue, K.R. (6602427511)","57193897060; 7406755420; 6602427511","A computational software system to design order picking warehouses","2021","Computers and Operations Research","10.1016/j.cor.2021.105311","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105691020&doi=10.1016%2fj.cor.2021.105311&partnerID=40&md5=48d799ee2fa7becbf7cbcbcdd48f41ed","Even though order picking is the most costly operation in a warehouse, current design practices have used the same principles (straight rows with parallel pick aisles and perpendicular cross aisles) to reduce travel distances between pick locations for more than sixty years. We present an open-source computational software system for facilitating the design of warehouse layouts to near-optimality considering average walking distance of the picker as the objective function. This software is particularly novel because a wide variety of traditional and innovative designs are automatically generated and evaluated. For the warehouse design parameters we consider the rectangular aspect ratio of the floor plan, the number and location of cross aisles, the number and location of pick aisles, and the location of a single input/output location. The main components of the design system are importing pick list profile data, creating the warehouse layout design as a network, product allocation (slotting) of SKUs through the warehouse, routing of pickers on a sample of orders using an exact routing algorithm, and design optimization using a meta-heuristic. We provide both mathematical and computational descriptions of the algorithms used by the software system, describe the types of problems that can be solved, and summarize our computational experience. This software is open source available on a GitHub website under an MIT license. © 2021 Elsevier Ltd","Computational tool; Open source; Optimization; Warehouse design","Article","Scopus"
"Geramifard A.; Dann C.; Klein R.H.; Dabney W.; How J.P.","Geramifard, Alborz (15055567000); Dann, Christoph (55352624000); Klein, Robert H. (56422992100); Dabney, William (55364888900); How, Jonathan P. (7006512768)","15055567000; 55352624000; 56422992100; 55364888900; 7006512768","RLPy: A value-function-based reinforcement learning framework for education and research","2015","Journal of Machine Learning Research","","33","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962209748&partnerID=40&md5=1448c7df4e417889ab10535cba0d3910","RLPy is an object-oriented reinforcement learning software package with a focus on valuefunction-based methods using linear function approximation and discrete actions. The framework was designed for both educational and research purposes. It provides a rich library of fine-grained, easily exchangeable components for learning agents (e.g., policies or representations of value functions), facilitating recently increased specialization in reinforcement learning. RLPy is written in Python to allow fast prototyping, but is also suitable for large-scale experiments through its built-in support for optimized numerical libraries and parallelization. Code profiling, domain visualizations, and data analysis are integrated in a self-contained package available under the Modified BSD License at http://github.com/rlpy/rlpy. All of these properties allow users to compare various reinforcement learning algorithms with little effort. © 2015 Alborz Geramifard, Christoph Dann, Robert H. Klein, William Dabney, and Jonathan P. How.","Empirical evaluation; Open source; Reinforcement learning; Value-function","Article","Scopus"
"Melchert O.; Demircan A.","Melchert, Oliver (24450581400); Demircan, Ayhan (7004830314)","24450581400; 7004830314","GNLStools.py: A generalized nonlinear Schrödinger Python module implementing different models of input pulse quantum noise","2022","SoftwareX","10.1016/j.softx.2022.101232","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142455490&doi=10.1016%2fj.softx.2022.101232&partnerID=40&md5=5780166e1e98f6c4f0dce5eb97af102b","We provide Python tools enabling numerical simulation and analysis of the propagation dynamics of ultrashort laser pulses in nonlinear waveguides. The modeling approach is based on the widely used generalized nonlinear Schrödinger equation for the pulse envelope. The presented software implements the effects of linear dispersion, pulse self-steepening, and the Raman effect. The focus lies on the implementation of input pulse shot noise, i.e. classical background fields that mimic quantum noise, which are often not thoroughly presented in the scientific literature. We discuss and implement commonly adopted quantum noise models based on pure spectral phase noise, as well as Gaussian noise. Coherence properties of the resulting spectra can be calculated. We demonstrate the functionality of the software by reproducing results for a supercontinuum generation process in a photonic crystal fiber, documented in the scientific literature. The presented Python tools are open-source and released under the MIT license in a publicly available software repository. © 2022 The Author(s)","Generalized nonlinear Schrödinger equation; Python; Quantum noise; Spectral coherence","Article","Scopus"
"Zagordi O.; Bhattacharya A.; Eriksson N.; Beerenwinkel N.","Zagordi, Osvaldo (27268092100); Bhattacharya, Arnab (57191736906); Eriksson, Nicholas (57207894876); Beerenwinkel, Niko (57203029155)","27268092100; 57191736906; 57207894876; 57203029155","ShoRAH: Estimating the genetic diversity of a mixed sample from next-generation sequencing data","2011","BMC Bioinformatics","10.1186/1471-2105-12-119","193","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955125679&doi=10.1186%2f1471-2105-12-119&partnerID=40&md5=cc9f18fc90fe717878e087a7fae822bf","Background: With next-generation sequencing technologies, experiments that were considered prohibitive only a few years ago are now possible. However, while these technologies have the ability to produce enormous volumes of data, the sequence reads are prone to error. This poses fundamental hurdles when genetic diversity is investigated.Results: We developed ShoRAH, a computational method for quantifying genetic diversity in a mixed sample and for identifying the individual clones in the population, while accounting for sequencing errors. The software was run on simulated data and on real data obtained in wet lab experiments to assess its reliability.Conclusions: ShoRAH is implemented in C++, Python, and Perl and has been tested under Linux and Mac OS X. Source code is available under the GNU General Public License at http://www.cbg.ethz.ch/software/shorah. © 2011 Zagordi et al; licensee BioMed Central Ltd.","","Article","Scopus"
"Thielen B.; Heinen S.; Schomburg D.","Thielen, Bernhard (15761297200); Heinen, Stephanie (33867598300); Schomburg, Dietmar (15920858600)","15761297200; 33867598300; 15920858600","mSpecs: A software tool for the administration and editing of mass spectral libraries in the field of metabolomics","2009","BMC Bioinformatics","10.1186/1471-2105-10-229","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-69349086671&doi=10.1186%2f1471-2105-10-229&partnerID=40&md5=c1fffdbb24eff2be3dd73c69c6aa3abb","Background: Metabolome analysis with GC/MS has meanwhile been established as one of the ""omics"" techniques. Compound identification is done by comparison of the MS data with compound libraries. Mass spectral libraries in the field of metabolomics ought to connect the relevant mass traces of the metabolites to other relevant data, e.g. formulas, chemical structures, identification numbers to other databases etc. Since existing solutions are either commercial and therefore only available for certain instruments or not capable of storing such information, there is need to provide a software tool for the management of such data. Results: Here we present mSpecs, an open source software tool to manage mass spectral data in the field of metabolomics. It provides editing of mass spectra and virtually any associated information, automatic calculation of formulas and masses and is extensible by scripts. The graphical user interface is capable of common techniques such as copy/ paste, undo/redo and drag and drop. It owns import and export filters for the major public file formats in order to provide compatibility to commercial instruments. Conclusion: mSpecs is a versatile tool for the management and editing of mass spectral libraries in the field of metabolomics. Beyond that it provides capabilities for the automatic management of libraries though its scripting functionality. mSpecs can be used on all major platforms and is licensed under the GNU General Public License and available at http://mspecs.tu-bs.de. © 2009 Thielen et al; licensee BioMed Central Ltd.","","Article","Scopus"
"Mader C.A.; Kenway G.K.W.; Yildirim A.; Martins J.R.R.A.","Mader, Charles A. (24338338200); Kenway, Gaetan K. W. (57203187352); Yildirim, Anil (57210816597); Martins, Joaquim R. R. A. (57203217536)","24338338200; 57203187352; 57210816597; 57203217536","ADflow: An open-source computational fluid dynamics solver for aerodynamic and multidisciplinary optimization","2020","Journal of Aerospace Information Systems","10.2514/1.I010796","64","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090328865&doi=10.2514%2f1.I010796&partnerID=40&md5=d84ba4796f8be1cd718432794da723b8","Computational fluid dynamics through the solution of the Navier–Stokes equations with turbulence models has become commonplace. However, simply solving these equations is not sufficient to be able to perform efficient design optimization with a flow solver in the loop. This paper discusses the recommendations for developing a flow solver that is suitable for efficient aerodynamic and multidisciplinary design optimization. One of the major recommendations is to be able to load the flow solver as a library that provides direct memory access to the relevant data. Other recommendations are to use a higher-level language for scripting and to pay special attention to solution warm starting, code efficiency, flow solver robustness, and solution failure handling. As an example of a flow solver that follows these recommendations, the open-source flow solver ADflow is presented. Results from aerodynamic optimization, aerostructural analysis, and aerostructural optimization using ADflow demonstrate the performance advantages claimed in the recommendations. The publication of these recommendations and the availability of the source code open the door for other solvers to adopt the same application programming interface. ADflow is part of a wider aerodynamic shape optimization tool suite that is also available under an open-source license. © 2020 by Charles A. Mader, Gaetan K.W. Kenway, Anil Yildirim, and Joaquim R.R.A.","","Article","Scopus"
"Cunningham H.; Tablan V.; Roberts A.; Bontcheva K.","Cunningham, Hamish (56249644700); Tablan, Valentin (55951946200); Roberts, Angus (7404499087); Bontcheva, Kalina (6602790600)","56249644700; 55951946200; 7404499087; 6602790600","Getting More Out of Biomedical Documents with GATE's Full Lifecycle Open Source Text Analytics","2013","PLoS Computational Biology","10.1371/journal.pcbi.1002854","244","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874763020&doi=10.1371%2fjournal.pcbi.1002854&partnerID=40&md5=13bc05b975b19fb077f41e1d85492228","This software article describes the GATE family of open source text analysis tools and processes. GATE is one of the most widely used systems of its type with yearly download rates of tens of thousands and many active users in both academic and industrial contexts. In this paper we report three examples of GATE-based systems operating in the life sciences and in medicine. First, in genome-wide association studies which have contributed to discovery of a head and neck cancer mutation association. Second, medical records analysis which has significantly increased the statistical power of treatment/outcome models in the UK's largest psychiatric patient cohort. Third, richer constructs in drug-related searching. We also explore the ways in which the GATE family supports the various stages of the lifecycle present in our examples. We conclude that the deployment of text mining for document abstraction or rich search and navigation is best thought of as a process, and that with the right computational tools and data collection strategies this process can be made defined and repeatable. The GATE research programme is now 20 years old and has grown from its roots as a specialist development tool for text processing to become a rather comprehensive ecosystem, bringing together software developers, language engineers and research staff from diverse fields. GATE now has a strong claim to cover a uniquely wide range of the lifecycle of text analysis systems. It forms a focal point for the integration and reuse of advances that have been made by many people (the majority outside of the authors' own group) who work in text processing for biomedicine and other areas. GATE is available online <1> under GNU open source licences and runs on all major operating systems. Support is available from an active user and developer community and also on a commercial basis. © 2013 Cunningham et al.","","Article","Scopus"
"Eckels J.; Nathe C.; Nelson E.K.; Shoemaker S.G.; Nostrand E.V.; Yates N.L.; Ashley V.C.; Harris L.J.; Bollenbeck M.; Fong Y.; Tomaras G.D.; Piehler B.","Eckels, Josh (37053561400); Nathe, Cory (25652112100); Nelson, Elizabeth K. (37054544100); Shoemaker, Sara G. (7006515928); Nostrand, Elizabeth V. (55757623500); Yates, Nicole L. (26021617300); Ashley, Vicki C. (56392824200); Harris, Linda J. (35740330800); Bollenbeck, Mark (57225232890); Fong, Youyi (52063251000); Tomaras, Georgia D. (6507517468); Piehler, Britt (37054387000)","37053561400; 25652112100; 37054544100; 7006515928; 55757623500; 26021617300; 56392824200; 35740330800; 57225232890; 52063251000; 6507517468; 37054387000","Quality control, analysis and secure sharing of Luminex® immunoassay data using the open source LabKey Server platform","2013","BMC Bioinformatics","10.1186/1471-2105-14-145","10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876790151&doi=10.1186%2f1471-2105-14-145&partnerID=40&md5=58d38659bca401a02641de3d8ebf54a5","Background: Immunoassays that employ multiplexed bead arrays produce high information content per sample. Such assays are now frequently used to evaluate humoral responses in clinical trials. Integrated software is needed for the analysis, quality control, and secure sharing of the high volume of data produced by such multiplexed assays. Software that facilitates data exchange and provides flexibility to perform customized analyses (including multiple curve fits and visualizations of assay performance over time) could increase scientists' capacity to use these immunoassays to evaluate human clinical trials.Results: The HIV Vaccine Trials Network and the Statistical Center for HIV/AIDS Research and Prevention collaborated with LabKey Software to enhance the open source LabKey Server platform to facilitate workflows for multiplexed bead assays. This system now supports the management, analysis, quality control, and secure sharing of data from multiplexed immunoassays that leverage Luminex xMAP® technology. These assays may be custom or kit-based. Newly added features enable labs to: (i) import run data from spreadsheets output by Bio-Plex Manager™ software; (ii) customize data processing, curve fits, and algorithms through scripts written in common languages, such as R; (iii) select script-defined calculation options through a graphical user interface; (iv) collect custom metadata for each titration, analyte, run and batch of runs; (v) calculate dose-response curves for titrations; (vi) interpolate unknown concentrations from curves for titrated standards; (vii) flag run data for exclusion from analysis; (viii) track quality control metrics across runs using Levey-Jennings plots; and (ix) automatically flag outliers based on expected values. Existing system features allow researchers to analyze, integrate, visualize, export and securely share their data, as well as to construct custom user interfaces and workflows.Conclusions: Unlike other tools tailored for Luminex immunoassays, LabKey Server allows labs to customize their Luminex analyses using scripting while still presenting users with a single, graphical interface for processing and analyzing data. The LabKey Server system also stands out among Luminex tools for enabling smooth, secure transfer of data, quality control information, and analyses between collaborators. LabKey Server and its Luminex features are freely available as open source software at http://www.labkey.com under the Apache 2.0 license. © 2013 Eckels et al.; licensee BioMed Central Ltd.","","Article","Scopus"
"Khramtsova E.A.; Stranger B.E.","Khramtsova, Ekaterina A. (57194755585); Stranger, Barbara E. (6507901873)","57194755585; 6507901873","Assocplots: A Python package for static and interactive visualization of multiple-group GWAS results","2017","Bioinformatics","10.1093/bioinformatics/btw641","8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046719843&doi=10.1093%2fbioinformatics%2fbtw641&partnerID=40&md5=65d060e3bf3cf65d1fefb95fcbb0076a","Over the last decade, genome-wide association studies (GWAS) have generated vast amounts of analysis results, requiring development of novel tools for data visualization. Quantile-quantile (QQ) plots and Manhattan plots are classical tools which have been utilized to visually summarize GWAS results and identify genetic variants significantly associated with traits of interest. However, static visualizations are limiting in the information that can be shown. Here, we present Assocplots, a Python package for viewing and exploring GWAS results not only using classic static Manhattan and QQ plots, but also through a dynamic extension which allows to interactively visualize the relationships between GWAS results from multiple cohorts or studies. Availability and Implementation: The Assocplots package is open source and distributed under the MIT license via GitHub (https://github.com/khramts/assocplots) along with examples, documentation and installation instructions. © 2016 The Authors 2016. Published by Oxford University Press. All rights reserved. For Permissions, please e-mail: journals.permissions@oup.com.","","Article","Scopus"
"De Oliveira Martins L.; Bloomfield S.; Stoakes E.; Grant A.J.; Page A.J.; Mather A.E.","De Oliveira Martins, Leonardo (18436304900); Bloomfield, Samuel (57194380704); Stoakes, Emily (57217632502); Grant, Andrew J. (10045178700); Page, Andrew J. (9736752200); Mather, Alison E. (16319287800)","18436304900; 57194380704; 57217632502; 10045178700; 9736752200; 16319287800","Tatajuba: Exploring the distribution of homopolymer tracts","2022","NAR Genomics and Bioinformatics","10.1093/nargab/lqac003","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125142108&doi=10.1093%2fnargab%2flqac003&partnerID=40&md5=840bb0c1fbc6e51ac2c697ed5d8712d2","Length variation of homopolymeric tracts, which induces phase variation, is known to regulate gene expression leading to phenotypic variation in a wide range of bacterial species. There is no specialized bioinformatics software which can, at scale, exhaustively explore and describe these features from sequencing data. Identifying these is non-trivial as sequencing and bioinformatics methods are prone to introducing artefacts when presented with homopolymeric tracts due to the decreased base diversity. We present tatajuba, which can automatically identify potential homopolymeric tracts and help predict their putative phenotypic impact, allowing for rapid investigation. We use it to detect all tracts in two separate datasets, one of Campylobacter jejuni and one of three Bordetella species, and to highlight those tracts that are polymorphic across samples. With this we confirm homopolymer tract variation with phenotypic impact found in previous studies and additionally find many more with potential variability. The software is written in C and is available under the open source licence GNU GPLv3.  © 2022 The Author(s). Published by Oxford University Press on behalf of NAR Genomics and Bioinformatics.","","Article","Scopus"
"Dafermos G.; van Eeten M.J.G.","Dafermos, George (15077793000); van Eeten, Michel J.G. (6603185658)","15077793000; 6603185658","Images of innovation in discourses of free and open source software","2014","First Monday","10.5210/fm.v19i12.4210","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920268650&doi=10.5210%2ffm.v19i12.4210&partnerID=40&md5=f1b52918a029f0721c4a05d4b7b78146","In this study, we examine the relationship between innovation and free/open source software (FOSS) based on the views of contributors to FOSS projects, using Q methodology as a method of discourse analysis to make visible the positions held by FOSS contributors and identify the discourses encountered in the FOSS community. In specific, our analysis reveals four discourses: four ways of expressing oneself used by FOSS contributors, which, aside from certain commonalities, postulate fundamentally different conceptions of innovation. Whereas the dispersion of FOSS contributors' subjectivity across four different discourses is indicative of the diversity and heterogeneity of the FOSS community, their commonalities, however, demarcate a common ground that all discourses share: points of agreement include the negative effect of patents on innovation, the predominant role of end users over manufacturers in the innovation process and the embrace of FOSS licenses as a key enabler of innovation. In the conclusion, we outline some implications for innovation management and policy. © First Monday, 1995-2014.","","Article","Scopus"
"Drwięga M.; Jakubiak J.","Drwięga, Michał (57188982331); Jakubiak, Janusz (6601982021)","57188982331; 6601982021","A set of depth sensor processing ros tools for wheeled mobile robot navigation","2017","Journal of Automation, Mobile Robotics and Intelligent Systems","10.14313/JAMRIS_2-2017/16","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021288078&doi=10.14313%2fJAMRIS_2-2017%2f16&partnerID=40&md5=dc78336475b14351b6ef1bb2bb5d0ab3","The paper presents a set of software tools dedicated to support mobile robot navigation. The tools are used to process an image from a depth sensor. They are imple­mented in ROS framework and they are compatible with standard ROS navigation packages. The software is relea­sed with an open source licence. First of the tools converts a 3D depth image to a 2D scan in polar coordinates. It provides projection of the obstacles, removes the ground plane from the image and compensates sensor tilt an­gle. The node is faster than the standard node within ROS and it has additional functions increasing range of possi­ble applications. The second tool allows detection of ne­gative obstacles i.e. located below the ground plane le­vel. The third tool estimates height and orientation of the sensor with RANSAC algorithm applied to the depth image. The paper presents also the results of usage of the tools with mobile platforms equipped with Microsoft Kinect sensors. The platforms are elements of the ReMeDi project within which the software was developed. © 2017, Industrial Research Institute for Automation and Measurements. All rights reserved.","Depth sensor; Kinect; Mobile robot; Navigation tools; RGB-D; ROS","Article","Scopus"
"Kopczynski D.; Barsnes H.; Njølstad P.R.; Sickmann A.; Vaudel M.; Ahrends R.","Kopczynski, Dominik (55497506800); Barsnes, Harald (12785887600); Njølstad, Pål R. (7004591440); Sickmann, Albert (7004512650); Vaudel, Marc (35560103600); Ahrends, Robert (6505716989)","55497506800; 12785887600; 7004591440; 7004512650; 35560103600; 6505716989","PeptideMapper: Efficient and versatile amino acid sequence and tag mapping","2017","Bioinformatics","10.1093/bioinformatics/btx122","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021825553&doi=10.1093%2fbioinformatics%2fbtx122&partnerID=40&md5=b5f2a2261190851f50211cfed0a30f23","The mapping of amino acid sequences is an essential task in bioinformatics. Notably, the mapping of peptide sequences on a proteome is required for the post-processing of proteomics results. However, this step can quickly become a bottleneck when working with extensive numbers of peptides or large protein sequence databases. Here, we present PeptideMapper, a novel amino acid sequence mapper for both peptide sequences and de novo sequencing identification results. By taking advantage of the latest advances in pattern matching, PeptideMapper achieves unprecedented performance (i.e. up to 1000 faster than state-of-the-art software) in terms of memory footprint and execution speed, with regards to both the indexing and the querying of protein sequence databases. Availability and Implementation: PeptideMapper is implemented in the open source Java CompOmics framework under the permissive Apache 2.0 license https://github.com/compomics/compomics-utilities. © 2017 The Author.","","Article","Scopus"
"Casadesus-Masanell R.; Llanes .G.","Casadesus-Masanell, Ramon (6507426720); Llanes, Gastón (36651127800)","6507426720; 36651127800","Mixed source","2011","Management Science","10.1287/mnsc.1110.1353","58","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960400872&doi=10.1287%2fmnsc.1110.1353&partnerID=40&md5=42ac4d9f0404975d84abee7175591137","We study competitive interaction between a profit-maximizing firm that sells software and complementary services, and a free open-source competitor. We examine the firm's choice of business model between the proprietary model (where all software modules are proprietary), the open-source model (where all modules are open source), and the mixed-source model (where some-but not all-modules are open). When a module is opened, users can access and improve the code, which increases quality and value creation. Opened modules, however, are available for others to use free of charge. We derive the set of possibly optimal business models when the modules of the firm and the open-source competitor are compatible (and thus can be combined) and incompatible, and show that (i) when the firm's modules are of high (low) quality, the firm is more open under incompatibility (compatibility) than under compatibility (incompatibility); (ii) firms are more likely to open substitute, rather than complementary, modules to existing open-source projects; and (iii) there may be no trade-off between value creation and value capture when comparing business models with different degrees of openness. © 2011 INFORMS.","Business models; Compatibility; Complementarity; Open source; User innovation; Value capture; Value creation","Article","Scopus"
"Balci H.; Dogrusoz U.; Ozgul Y.Z.; Atayev P.","Balci, Hasan (57192187830); Dogrusoz, Ugur (6602520561); Ozgul, Yusuf Ziya (57987023100); Atayev, Perman (57987072400)","57192187830; 6602520561; 57987023100; 57987072400","SyBLaRS: A web service for laying out, rendering and mining biological maps in SBGN, SBML and more","2022","PLoS Computational Biology","10.1371/journal.pcbi.1010635","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142940939&doi=10.1371%2fjournal.pcbi.1010635&partnerID=40&md5=bdbfc90bb550cf2c5f810f7b7e403343","Visualization is a key recurring requirement for effective analysis of relational data. Biology is no exception. It is imperative to annotate and render biological models in standard, widely accepted formats. Finding graph-theoretical properties of pathways as well as identifying certain paths or subgraphs of interest in a pathway are also essential for effective analysis of pathway data. Given the size of available biological pathway data nowadays, automatic layout is crucial in understanding the graphical representations of such data. Even though there are many available software tools that support graphical display of biological pathways in various formats, there is none available as a service for on-demand or batch processing of biological pathways for automatic layout, customized rendering and mining paths or subgraphs of interest. In addition, there are many tools with fine rendering capabilities lacking decent automatic layout support. To fill this void, we developed a web service named SyBLaRS (Systems Biology Layout and Rendering Service) for automatic layout of biological data in various standard formats as well as construction of customized images in both raster image and scalable vector formats of these maps. Some of the supported standards are more generic such as GraphML and JSON, whereas others are specialized to biology such as SBGNML (The Systems Biology Graphical Notation Markup Language) and SBML (The Systems Biology Markup Language). In addition, SyBLaRS supports calculation and highlighting of a number of wellknown graph-theoretical properties as well as some novel graph algorithms turning a specified set of objects of interest to a minimal pathway of interest. We demonstrate that SyBLaRS can be used both as an offline layout and rendering service to construct customized and annotated pictures of pathway models and as an online service to provide layout and rendering capabilities for systems biology software tools. SyBLaRS is open source and publicly available on GitHub and freely distributed under the MIT license. In addition, a sample deployment is available here for public consumption.  © 2022 Balci et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","","Article","Scopus"
"Liu X.; Yu Q.; Liao J.","Liu, Xiaoyan (56021214600); Yu, Qing (56415517700); Liao, Jianwei (14016090000)","56021214600; 56415517700; 14016090000","Fastdfs: A high performance distributed file system","2014","ICIC Express Letters, Part B: Applications","","8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84910146071&partnerID=40&md5=d8b96fba9d2ae0526fbf33cc8419899b","FastDFS is a lightweight, high performance distributed file system under the GNU General Public License; it uses a large amount of limited storage devices to solve the problems of managing a large number of files, and then supports highly concurrent I/O accesses, load balancing and adjusting the capacity of storage servers on the fly. The FastDFS file system can be merged with HTTP web servers, such as Apache web server and nginx, through using extensible module. Thus, it is quite suitable to provide I/O services for Internet applications including photo album and online video. © 2014 ICIC International.","Fault-tolerance; High performance; Lightweight distributed file system; Open source software","Article","Scopus"
"Fournier-Viger P.; Gomariz A.; Gueniche T.; Soltani A.; Wu C.-W.; Tseng V.S.","Fournier-Viger, Philippe (14048484800); Gomariz, Antonio (35748362800); Gueniche, Ted (55566766300); Soltani, Azadeh (14123895600); Wu, Cheng-Wei (8964576200); Tseng, Vincent S. (6507335623)","14048484800; 35748362800; 55566766300; 14123895600; 8964576200; 6507335623","SPMF: A java open-source pattern mining library","2015","Journal of Machine Learning Research","","322","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919772030&partnerID=40&md5=b0bc253fd9e34ac60aff32c348bbfe32","We present SPMF, an open-source data mining library offering implementations of more than 55 data mining algorithms. SPMF is a cross-platform library implemented in Java, specialized for discovering patterns in transaction and sequence databases such as frequent itemsets, association rules and sequential patterns. The source code can be integrated in other Java programs. Moreover, SPMF offers a command line interface and a simple graphical interface for quick testing. The source code is available under the GNU General Public License, version 3. The website of the project offers several resources such as documentation with examples of how to run each algorithm, a developer's guide, performance comparisons of algorithms, data sets, an active forum, a FAQ and a mailing list. ©2014 Philippe Fournier-Viger, Antonio Gomariz, Ted Gueniche, Azadeh Soltani, Cheng-Wei Wu, Vincent S. Tseng.","Data mining; Frequent pattern mining; Library; Open-source; Sequence database; Transaction database","Article","Scopus"
"Kutmon M.; van Iersel M.P.; Bohler A.; Kelder T.; Nunes N.; Pico A.R.; Evelo C.T.","Kutmon, Martina (36483203500); van Iersel, Martijn P. (24484040800); Bohler, Anwesha (56543191700); Kelder, Thomas (24450676300); Nunes, Nuno (56542990100); Pico, Alexander R. (17342562100); Evelo, Chris T. (7003950754)","36483203500; 24484040800; 56543191700; 24450676300; 56542990100; 17342562100; 7003950754","PathVisio 3: An Extendable Pathway Analysis Toolbox","2015","PLoS Computational Biology","10.1371/journal.pcbi.1004085","267","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924370843&doi=10.1371%2fjournal.pcbi.1004085&partnerID=40&md5=8f77c88b9d837974bce6dbb54e424351","PathVisio is a commonly used pathway editor, visualization and analysis software. Biological pathways have been used by biologists for many years to describe the detailed steps in biological processes. Those powerful, visual representations help researchers to better understand, share and discuss knowledge. Since the first publication of PathVisio in 2008, the original paper was cited more than 170 times and PathVisio was used in many different biological studies. As an online editor PathVisio is also integrated in the community curated pathway database WikiPathways.Here we present the third version of PathVisio with the newest additions and improvements of the application. The core features of PathVisio are pathway drawing, advanced data visualization and pathway statistics. Additionally, PathVisio 3 introduces a new powerful extension systems that allows other developers to contribute additional functionality in form of plugins without changing the core application.PathVisio can be downloaded from http://www.pathvisio.org and in 2014 PathVisio 3 has been downloaded over 5,500 times. There are already more than 15 plugins available in the central plugin repository. PathVisio is a freely available, open-source tool published under the Apache 2.0 license (http://www.apache.org/licenses/LICENSE-2.0). It is implemented in Java and thus runs on all major operating systems. The code repository is available at http://svn.bigcat.unimaas.nl/pathvisio. The support mailing list for users is available on https://groups.google.com/forum/#!forum/wikipathways-discuss and for developers on https://groups.google.com/forum/#!forum/wikipathways-devel. © 2015 Kutmon et al.","","Article","Scopus"
